doc_name,thread_name,thread_url,dominant_topic,topic_gamma,displacement,fuel_type,year,mileage_km,mileage_bucket,engine_group,technical_bucket,chronic_score,n_messages,gamma_vector
doc_01445,Midline Plus araca sonradan takilan Orijinal U Led far yukseklik ayari hk.,https://www.golftutkusu.com/topic/21934-midline-plus-araca-sonradan-takilan-orijinal-u-led-far-yukseklik-ayari-hk,7,0.8606277110350097,NA,unknown,2015,80000,60-90k,unknown,high,2,21,"[0.007858, 0.002999, 0.082891, 0.002812, 0.013543, 0.002269, 0.860628, 0.001364, 0.004163, 0.002097, 0.002333, 0.001363, 0.001936, 0.003542, 0.000658, 0.000969, 0.002390, 0.003313, 0.002825, 0.000046]"
doc_01446,Midline plus Gateway beyni nerde,https://www.golftutkusu.com/topic/8473-midline-plus-gateway-beyni-nerde,6,0.9965003250467999,NA,unknown,NA,NA,unknown,unknown,medium,0,3,"[0.000223, 0.000126, 0.000071, 0.000146, 0.000646, 0.996500, 0.000371, 0.000077, 0.000115, 0.000081, 0.000189, 0.000145, 0.000142, 0.000175, 0.000190, 0.000075, 0.000143, 0.000369, 0.000144, 0.000072]"
doc_01447,Mi̇b 2.5 Di̇scovery Pro Harman Uni̇te ve Hi̇gh Geri̇ Gorus Montaj Sonrasi Park Yardimi Sorunu,https://www.golftutkusu.com/topic/27671-mib-2-5-discovery-pro-harman-unite-ve-high-geri-gorus-montaj-sonrasi-park-yardimi-sorunu,6,0.8733831841917501,NA,unknown,NA,NA,unknown,unknown,high,1,8,"[0.001262, 0.000779, 0.000981, 0.001102, 0.002401, 0.873383, 0.002017, 0.000566, 0.001301, 0.000794, 0.001005, 0.001188, 0.001394, 0.001596, 0.101283, 0.001187, 0.000938, 0.003607, 0.001483, 0.001734]"
doc_01448,Mk7 Arka Silecek Kolu ve Silgisi,https://www.golftutkusu.com/topic/18893-mk7-arka-silecek-kolu-ve-silgisi,18,0.6303301708466136,NA,unknown,NA,NA,unknown,unknown,low,0,9,"[0.000451, 0.000664, 0.335403, 0.000875, 0.000307, 0.001351, 0.000485, 0.001090, 0.001272, 0.001214, 0.010369, 0.001310, 0.000771, 0.000684, 0.004160, 0.004214, 0.001178, 0.630330, 0.001984, 0.001887]"
doc_01449,Motip klima temizleme kopugu,https://www.golftutkusu.com/topic/12212-motip-klima-temizleme-kopugu,12,0.9937162166857176,NA,unknown,2013,3000,0-30k,unknown,high,2,74,"[0.000183, 0.000157, 0.000160, 0.000323, 0.000637, 0.000409, 0.000262, 0.000173, 0.000228, 0.000205, 0.000461, 0.993716, 0.000369, 0.000377, 0.000377, 0.000565, 0.000227, 0.000723, 0.000284, 0.000164]"
doc_01450,Motor Asiri Isindi Uyarisi ve Yag havalandirma Hortumu Yag Kacagi,https://www.golftutkusu.com/topic/16782-motor-asiri-isindi-uyarisi-ve-yag-havalandirma-hortumu-yag-kacagi,11,0.9254225537482051,NA,unknown,NA,200000,180-210k,unknown,high,0,13,"[0.000364, 0.000133, 0.064477, 0.000344, 0.000281, 0.000492, 0.000456, 0.000587, 0.000421, 0.000155, 0.925423, 0.000573, 0.000175, 0.000599, 0.000321, 0.000957, 0.000426, 0.001112, 0.001188, 0.001517]"
doc_01451,Motor Isininca Sarsinti,https://www.golftutkusu.com/topic/17434-motor-isininca-sarsinti,17,0.9706147117329386,1.6,diesel,2013,NA,unknown,1.6_TDI,high,1,10,"[0.002135, 0.000715, 0.001689, 0.001792, 0.005690, 0.001378, 0.001219, 0.001529, 0.002283, 0.001416, 0.001718, 0.001353, 0.000898, 0.001029, 0.000412, 0.000626, 0.970615, 0.002043, 0.001422, 0.000039]"
doc_01452,Motor Kismi Temizligi,https://www.golftutkusu.com/topic/12066-motor-kismi-temizligi,3,0.9797067010738161,NA,unknown,NA,NA,unknown,unknown,high,2,37,"[0.000696, 0.000702, 0.979707, 0.000582, 0.002264, 0.000874, 0.000929, 0.000360, 0.001074, 0.000194, 0.001118, 0.000384, 0.001025, 0.001122, 0.000820, 0.003194, 0.000600, 0.002981, 0.000872, 0.000501]"
doc_01453,Motor Sicakligi Sabit Tutulamadi,https://www.golftutkusu.com/topic/27283-motor-sicakligi-sabit-tutulamadi,7,0.7818871194343411,1.6,diesel,2022,102000,90-120k,1.6_TDI,high,1,41,"[0.013404, 0.007928, 0.007156, 0.011761, 0.022740, 0.008017, 0.781887, 0.004079, 0.016152, 0.021547, 0.003922, 0.007286, 0.007663, 0.013267, 0.041256, 0.001901, 0.006632, 0.014825, 0.008407, 0.000171]"
doc_01454,Motor Yag Uyarisi,https://www.golftutkusu.com/topic/11855-motor-yag-uyarisi,5,0.719952070559266,NA,unknown,NA,5000,0-30k,unknown,low,0,5,"[0.005041, 0.002964, 0.151289, 0.007249, 0.719952, 0.013354, 0.004611, 0.004081, 0.006510, 0.001719, 0.004998, 0.004694, 0.006515, 0.030375, 0.005091, 0.007929, 0.004973, 0.006977, 0.008569, 0.003107]"
