engine_spec,reg_year,total_tests,pass_count,avg_failures,avg_mileage,fail_rate_pct
unknown,1998,2,2,2.0,122717.5,0.0
unknown,1999,3,3,3.3333333333333335,146929.0,0.0
unknown,2000,8,6,1.25,141849.125,25.0
unknown,2001,10,7,2.7,166564.0,30.0
unknown,2002,29,23,2.1724137931034484,118609.58620689655,20.7
unknown,2003,9,7,1.5555555555555556,144419.0,22.2
unknown,2004,50,40,1.8,98120.6530612245,20.0
unknown,2005,44,37,1.4545454545454546,94891.52272727272,15.9
unknown,2006,45,34,0.9555555555555556,78281.0731707317,24.4
unknown,2007,36,34,0.8888888888888888,80694.52777777778,5.6
unknown,2008,32,28,1.0,73188.03125,12.5
unknown,2009,30,28,0.5,69299.7,6.7
unknown,2010,31,27,0.5483870967741935,48379.032258064515,12.9
unknown,2011,37,35,0.6216216216216216,35553.72222222222,5.4
unknown,2012,3,2,0.6666666666666666,102287.0,33.3
unknown,2014,2,1,1.0,132497.0,50.0
unknown_1043cc,1981,2,1,4.0,127947.0,50.0
unknown_1043cc,1984,3,1,9.333333333333334,54307.666666666664,66.7
unknown_1043cc,1985,4,2,1.0,36441.0,50.0
unknown_1043cc,2004,3,3,0.0,89089.66666666667,0.0
unknown_1050cc,1984,1,1,1.0,78208.0,0.0
unknown_1084cc,2002,2,1,2.0,118707.0,50.0
unknown_1085cc,1983,1,1,1.0,58351.0,0.0
unknown_1093cc,1975,3,3,0.3333333333333333,80807.33333333333,0.0
unknown_1093cc,1976,2,2,4.5,54087.5,0.0
unknown_1093cc,1977,1,1,0.0,35956.0,0.0
unknown_1093cc,1978,10,7,2.1,71599.6,30.0
unknown_1093cc,1979,4,3,1.25,75089.0,25.0
unknown_1093cc,1980,6,6,0.6666666666666666,70938.0,0.0
unknown_1093cc,1981,17,11,3.2941176470588234,56814.529411764706,35.3
unknown_1093cc,1982,74,54,3.3783783783783785,73386.04166666667,27.0
unknown_1093cc,1983,129,89,2.6511627906976742,92063.73553719008,31.0
unknown_1093cc,1984,24,18,2.0,75323.83333333333,25.0
