doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00063,1.6 tdi gaz vermeden arac calismadi,1.6_TDI,3,59000,high,"[0.000761, 0.000870, 0.981447, 0.000816, 0.001778, 0.000659, 0.000365, 0.001181, 0.001605, 0.001022, 0.001454, 0.000805, 0.000206, 0.000711, 0.000350, 0.001187, 0.000387, 0.001480, 0.002699, 0.000218]"
doc_00064,1.6 tdi iceriye gelen ses hakkinda (muhtemel enjektor sesi),1.6_TDI,8,135000,medium,"[0.000951, 0.001155, 0.374156, 0.000759, 0.001880, 0.000617, 0.000613, 0.604718, 0.000719, 0.000937, 0.002180, 0.000587, 0.000338, 0.000826, 0.000798, 0.003630, 0.000869, 0.002201, 0.001671, 0.000392]"
doc_00065,1.6tdi Egzoz teklemesi ?,1.6_TDI,16,NA,none,"[0.000329, 0.000506, 0.009312, 0.001308, 0.000688, 0.001567, 0.000971, 0.021329, 0.001925, 0.002959, 0.003249, 0.003706, 0.000560, 0.000881, 0.001577, 0.941341, 0.000756, 0.003541, 0.001500, 0.001995]"
doc_00066,1.6tdi buji lambasi yaniyor cekisten dusuyor,1.6_TDI,19,NA,none,"[0.001720, 0.003286, 0.435136, 0.002759, 0.001536, 0.003197, 0.001325, 0.006093, 0.006293, 0.003832, 0.007974, 0.003238, 0.001239, 0.001738, 0.005530, 0.009400, 0.001744, 0.008765, 0.487044, 0.008148]"
doc_00067,1.6tdi durduk yere fan calismasi ve cozumu (rejenerasyon degil),1.6_TDI,5,NA,none,"[0.001010, 0.000354, 0.002786, 0.000754, 0.893905, 0.001267, 0.000367, 0.088964, 0.000826, 0.000918, 0.001601, 0.001517, 0.000158, 0.001351, 0.000515, 0.001417, 0.000753, 0.000342, 0.000798, 0.000396]"
doc_00068,10.2 multimedya easy connect sorunu,1.2_TSI,2,NA,none,"[0.004936, 0.820972, 0.003293, 0.016702, 0.013668, 0.005644, 0.003255, 0.010203, 0.013439, 0.011668, 0.011469, 0.001550, 0.004319, 0.010996, 0.004059, 0.024831, 0.004847, 0.018998, 0.012135, 0.003016]"
doc_00069,15 derecenin altinda arka silecek yarida kalma sorunu,unknown,4,NA,none,"[0.001178, 0.000559, 0.001323, 0.968385, 0.004686, 0.001623, 0.002205, 0.001598, 0.001900, 0.000857, 0.002530, 0.001223, 0.000993, 0.002239, 0.000702, 0.001755, 0.001195, 0.003235, 0.001702, 0.000112]"
doc_00070,"18 "" den 17"" e mecburi donus yardim lutfen.",1.2_TSI,14,30000,medium,"[0.000845, 0.010061, 0.000384, 0.001417, 0.002367, 0.000954, 0.000742, 0.001175, 0.001259, 0.002008, 0.005485, 0.000193, 0.000704, 0.955945, 0.002465, 0.006986, 0.000538, 0.004319, 0.000964, 0.001188]"
doc_00071,18” Orijinal Durban Jant boya Kodu,unknown,7,NA,none,"[0.015888, 0.006743, 0.006601, 0.008837, 0.038888, 0.006432, 0.735086, 0.004592, 0.117249, 0.006707, 0.006360, 0.006033, 0.004880, 0.009059, 0.002128, 0.001956, 0.007365, 0.005823, 0.009259, 0.000115]"
doc_00072,19 inc jant muayene,unknown,9,NA,none,"[0.023798, 0.008529, 0.008567, 0.013996, 0.096008, 0.017951, 0.180810, 0.145269, 0.395595, 0.005986, 0.007400, 0.012927, 0.008587, 0.020145, 0.004145, 0.009803, 0.010394, 0.016342, 0.013474, 0.000274]"
doc_00073,1bin Devirde Motor Kismindan Gelen Garip Ses,1.2_TSI,15,63000,medium,"[0.001691, 0.012072, 0.000454, 0.003085, 0.001504, 0.001318, 0.001299, 0.003271, 0.002550, 0.003548, 0.002708, 0.000297, 0.001458, 0.003725, 0.907142, 0.023020, 0.001549, 0.024359, 0.001628, 0.003323]"
doc_00074,2 Gun sonra muayeneye gidecegim sorum var,unknown,5,NA,none,"[0.004205, 0.001211, 0.473443, 0.002361, 0.494064, 0.002388, 0.001475, 0.001802, 0.003515, 0.000571, 0.001477, 0.001262, 0.001325, 0.003589, 0.000339, 0.001743, 0.001413, 0.001515, 0.002210, 0.000093]"
doc_00075,2.0 swapli aracimda bayilma,1.6_TDI,3,2000,medium,"[0.000181, 0.000408, 0.985646, 0.000223, 0.000248, 0.000423, 0.000190, 0.000390, 0.000456, 0.000405, 0.000735, 0.000314, 0.000172, 0.000236, 0.000982, 0.001214, 0.000242, 0.005762, 0.000867, 0.000906]"
doc_00076,2.calistirmada titreme,1.6_TDI,8,NA,none,"[0.000563, 0.000760, 0.003345, 0.000935, 0.000700, 0.000971, 0.000457, 0.975187, 0.000461, 0.001488, 0.002140, 0.001376, 0.000395, 0.000368, 0.001330, 0.003834, 0.000898, 0.002020, 0.001601, 0.001169]"
doc_00077,20 Gun veya 3400 km icinde servis,unknown,7,3400,high,"[0.003263, 0.002929, 0.006182, 0.009391, 0.014870, 0.005546, 0.908060, 0.003438, 0.006662, 0.005081, 0.005177, 0.004529, 0.003384, 0.006354, 0.001340, 0.002952, 0.003206, 0.003292, 0.004206, 0.000137]"
doc_00078,20 Km hiza kadar olan vikvik ses sorunu,unknown,18,66000,medium,"[0.000032, 0.000020, 0.000066, 0.000785, 0.000213, 0.000129, 0.000339, 0.000152, 0.000086, 0.000068, 0.000069, 0.000051, 0.000885, 0.000649, 0.001586, 0.000584, 0.000676, 0.993519, 0.000035, 0.000057]"
doc_00079,20-30 km hizla giderken el freni,unknown,8,NA,none,"[0.011243, 0.008581, 0.000008, 0.005929, 0.015392, 0.003611, 0.002118, 0.920739, 0.002981, 0.002611, 0.000317, 0.000026, 0.000151, 0.001962, 0.000678, 0.013861, 0.005434, 0.001606, 0.002206, 0.000546]"
